# Force        
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	(total_x total_y total_z)	(pressureFluid_x pressureFluid_y pressureFluid_z)	(pressureParticle_x pressureParticle_y pressureParticle_z)	(viscous_x viscous_y viscous_z)
1.25294        	(1.3106088e-05 1.0662291e-02 -7.5565059e-20)	(1.3106088e-05 1.0662291e-02 -7.5565059e-20)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.25395        	(-2.0614788e-05 1.0704260e-02 -6.1814462e-19)	(-2.0614788e-05 1.0704260e-02 -6.1814462e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.25496        	(8.1957450e-06 1.0648860e-02 3.6617165e-19)	(8.1957450e-06 1.0648860e-02 3.6617165e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.25597        	(-2.2517550e-05 1.0720829e-02 -1.2044599e-19)	(-2.2517550e-05 1.0720829e-02 -1.2044599e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.25697        	(6.5826490e-07 1.0647028e-02 3.4957529e-19)	(6.5826490e-07 1.0647028e-02 3.4957529e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.25798        	(-2.1410851e-05 1.0694882e-02 4.2811922e-20)	(-2.1410851e-05 1.0694882e-02 4.2811922e-20)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.25898        	(-3.0831023e-06 1.0611646e-02 1.1641029e-19)	(-3.0831023e-06 1.0611646e-02 1.1641029e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.25998        	(-2.3312795e-05 1.0687208e-02 -6.1176684e-20)	(-2.3312795e-05 1.0687208e-02 -6.1176684e-20)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.26098        	(-8.1859330e-06 1.0607385e-02 -1.4317798e-19)	(-8.1859330e-06 1.0607385e-02 -1.4317798e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.26198        	(-2.0384897e-05 1.0667963e-02 -1.1293348e-19)	(-2.0384897e-05 1.0667963e-02 -1.1293348e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.26298        	(-5.7751109e-06 1.0591179e-02 1.2536319e-19)	(-5.7751109e-06 1.0591179e-02 1.2536319e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.26399        	(-1.7288772e-05 1.0670300e-02 -1.7418648e-19)	(-1.7288772e-05 1.0670300e-02 -1.7418648e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.265          	(-3.4400045e-06 1.0556723e-02 -2.9617873e-19)	(-3.4400045e-06 1.0556723e-02 -2.9617873e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.266          	(-1.2331568e-05 1.0633340e-02 1.1192609e-19)	(-1.2331568e-05 1.0633340e-02 1.1192609e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.267          	(-4.6695642e-06 1.0525728e-02 1.4028266e-19)	(-4.6695642e-06 1.0525728e-02 1.4028266e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.268          	(-8.5103993e-06 1.0643553e-02 3.2442081e-20)	(-8.5103993e-06 1.0643553e-02 3.2442081e-20)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.269          	(1.9273485e-06 1.0504433e-02 5.4609548e-20)	(1.9273485e-06 1.0504433e-02 5.4609548e-20)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.26999        	(-4.9807411e-06 1.0638829e-02 -1.5278059e-19)	(-4.9807411e-06 1.0638829e-02 -1.5278059e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.27098        	(8.0119095e-07 1.0509941e-02 1.1294481e-19)	(8.0119095e-07 1.0509941e-02 1.1294481e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.27197        	(-2.4271411e-06 1.0574612e-02 7.5117371e-20)	(-2.4271411e-06 1.0574612e-02 7.5117371e-20)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.27295        	(1.7247862e-06 1.0526258e-02 -1.4250109e-19)	(1.7247862e-06 1.0526258e-02 -1.4250109e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.27394        	(-2.1934531e-06 1.0561120e-02 -6.3318798e-20)	(-2.1934531e-06 1.0561120e-02 -6.3318798e-20)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.27492        	(2.5253238e-06 1.0511737e-02 -6.3471379e-20)	(2.5253238e-06 1.0511737e-02 -6.3471379e-20)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.27591        	(-2.1940571e-06 1.0542816e-02 1.6736067e-19)	(-2.1940571e-06 1.0542816e-02 1.6736067e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.27689        	(8.5630624e-07 1.0495085e-02 -3.8653028e-19)	(8.5630624e-07 1.0495085e-02 -3.8653028e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.27787        	(-1.2393259e-06 1.0514981e-02 1.4690982e-19)	(-1.2393259e-06 1.0514981e-02 1.4690982e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.27886        	(2.3408663e-06 1.0480718e-02 -1.2210114e-19)	(2.3408663e-06 1.0480718e-02 -1.2210114e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.27985        	(-9.5319931e-07 1.0539149e-02 1.0344725e-19)	(-9.5319931e-07 1.0539149e-02 1.0344725e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.28084        	(-1.7975878e-06 1.0414771e-02 -1.2734899e-19)	(-1.7975878e-06 1.0414771e-02 -1.2734899e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.28182        	(-2.5289078e-06 1.0533656e-02 1.4898447e-19)	(-2.5289078e-06 1.0533656e-02 1.4898447e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.2828         	(-4.4316314e-06 1.0397698e-02 -2.0088455e-19)	(-4.4316314e-06 1.0397698e-02 -2.0088455e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.28378        	(-3.0108599e-06 1.0537859e-02 -2.4110890e-19)	(-3.0108599e-06 1.0537859e-02 -2.4110890e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.28475        	(-2.7139629e-06 1.0412097e-02 -9.9553362e-20)	(-2.7139629e-06 1.0412097e-02 -9.9553362e-20)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.28573        	(-2.8539784e-07 1.0506895e-02 -1.5270489e-19)	(-2.8539784e-07 1.0506895e-02 -1.5270489e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.28671        	(-2.2279632e-06 1.0409911e-02 9.6824826e-20)	(-2.2279632e-06 1.0409911e-02 9.6824826e-20)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.28767        	(-3.3817652e-06 1.0445067e-02 -2.6185440e-20)	(-3.3817652e-06 1.0445067e-02 -2.6185440e-20)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.28864        	(-2.2018467e-06 1.0428223e-02 -8.1523801e-20)	(-2.2018467e-06 1.0428223e-02 -8.1523801e-20)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.28961        	(2.5681989e-06 1.0448086e-02 -1.7401348e-19)	(2.5681989e-06 1.0448086e-02 -1.7401348e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.29058        	(4.3108743e-06 1.0419770e-02 -6.7441601e-20)	(4.3108743e-06 1.0419770e-02 -6.7441601e-20)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.29155        	(2.6598340e-06 1.0435602e-02 1.0926199e-19)	(2.6598340e-06 1.0435602e-02 1.0926199e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.29252        	(5.0676406e-06 1.0406757e-02 1.5668293e-20)	(5.0676406e-06 1.0406757e-02 1.5668293e-20)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.29349        	(1.6424527e-06 1.0457511e-02 -6.8981417e-20)	(1.6424527e-06 1.0457511e-02 -6.8981417e-20)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.29447        	(3.3703713e-06 1.0361460e-02 -2.5164127e-19)	(3.3703713e-06 1.0361460e-02 -2.5164127e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.29545        	(-4.0990800e-07 1.0410900e-02 -2.1856323e-19)	(-4.0990800e-07 1.0410900e-02 -2.1856323e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.29642        	(-1.9697142e-06 1.0354738e-02 3.6377518e-20)	(-1.9697142e-06 1.0354738e-02 3.6377518e-20)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.2974         	(1.7794026e-06 1.0391245e-02 -1.4911905e-19)	(1.7794026e-06 1.0391245e-02 -1.4911905e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.29837        	(1.0266811e-06 1.0297855e-02 4.6947539e-19)	(1.0266811e-06 1.0297855e-02 4.6947539e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.29934        	(2.1482014e-06 1.0401939e-02 1.8127594e-19)	(2.1482014e-06 1.0401939e-02 1.8127594e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.3003         	(8.3106417e-07 1.0325266e-02 -3.5838179e-19)	(8.3106417e-07 1.0325266e-02 -3.5838179e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.30127        	(3.2389948e-06 1.0392171e-02 3.6716986e-19)	(3.2389948e-06 1.0392171e-02 3.6716986e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.30224        	(6.0690583e-07 1.0323474e-02 -1.3021706e-19)	(6.0690583e-07 1.0323474e-02 -1.3021706e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.30321        	(1.6046533e-06 1.0371366e-02 -2.8277186e-19)	(1.6046533e-06 1.0371366e-02 -2.8277186e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.30418        	(3.3424920e-06 1.0319712e-02 3.5353234e-19)	(3.3424920e-06 1.0319712e-02 3.5353234e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.30514        	(3.9019323e-06 1.0361686e-02 -1.0858982e-19)	(3.9019323e-06 1.0361686e-02 -1.0858982e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.30611        	(3.8075353e-06 1.0312279e-02 9.9547644e-20)	(3.8075353e-06 1.0312279e-02 9.9547644e-20)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.30708        	(3.6134254e-06 1.0350591e-02 1.3366892e-19)	(3.6134254e-06 1.0350591e-02 1.3366892e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.30805        	(1.0988559e-06 1.0318577e-02 1.5241875e-19)	(1.0988559e-06 1.0318577e-02 1.5241875e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.30902        	(2.1661453e-06 1.0346431e-02 3.6767981e-19)	(2.1661453e-06 1.0346431e-02 3.6767981e-19)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
