# Moment       
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	(total_x total_y total_z)	(pressureFluid_x pressureFluid_y pressureFluid_z)	(pressureParticle_x pressureParticle_y pressureParticle_z)	(viscous_x viscous_y viscous_z)
1.24284        	(3.8770498e-06 -5.9480265e-09 9.9352266e-06)	(3.8770498e-06 -5.9480265e-09 9.9352266e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.24384        	(3.8889237e-06 1.8042656e-08 1.0458535e-05)	(3.8889237e-06 1.8042656e-08 1.0458535e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.24485        	(3.8769374e-06 -6.4225353e-09 9.9292048e-06)	(3.8769374e-06 -6.4225353e-09 9.9292048e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.24586        	(3.8787267e-06 1.5432924e-08 1.0382272e-05)	(3.8787267e-06 1.5432924e-08 1.0382272e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.24687        	(3.8632119e-06 -5.6112786e-09 9.9140108e-06)	(3.8632119e-06 -5.6112786e-09 9.9140108e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.24787        	(3.8672470e-06 1.1981712e-08 1.0285483e-05)	(3.8672470e-06 1.1981712e-08 1.0285483e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.24888        	(3.8578378e-06 -5.3908697e-09 9.9082981e-06)	(3.8578378e-06 -5.3908697e-09 9.9082981e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.24989        	(3.8657865e-06 1.1037702e-08 1.0265875e-05)	(3.8657865e-06 1.1037702e-08 1.0265875e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.25091        	(3.8414757e-06 -4.0237580e-09 9.8973407e-06)	(3.8414757e-06 -4.0237580e-09 9.8973407e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.25192        	(3.8536473e-06 6.7216138e-09 1.0149760e-05)	(3.8536473e-06 6.7216138e-09 1.0149760e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.25294        	(3.8384247e-06 -4.7181918e-09 9.8788249e-06)	(3.8384247e-06 -4.7181918e-09 9.8788249e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.25395        	(3.8535337e-06 7.4213235e-09 1.0167096e-05)	(3.8535337e-06 7.4213235e-09 1.0167096e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.25496        	(3.8335896e-06 -2.9504682e-09 9.9057348e-06)	(3.8335896e-06 -2.9504682e-09 9.9057348e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.25597        	(3.8594986e-06 8.1063182e-09 1.0199839e-05)	(3.8594986e-06 8.1063182e-09 1.0199839e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.25697        	(3.8329301e-06 -2.3697536e-10 9.9626197e-06)	(3.8329301e-06 -2.3697536e-10 9.9626197e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.25798        	(3.8501574e-06 7.7079064e-09 1.0170680e-05)	(3.8501574e-06 7.7079064e-09 1.0170680e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.25898        	(3.8201926e-06 1.1099168e-09 9.9601631e-06)	(3.8201926e-06 1.1099168e-09 9.9601631e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.25998        	(3.8473949e-06 8.3926061e-09 1.0180580e-05)	(3.8473949e-06 8.3926061e-09 1.0180580e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.26098        	(3.8186587e-06 2.9469359e-09 9.9967043e-06)	(3.8186587e-06 2.9469359e-09 9.9967043e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.26198        	(3.8404668e-06 7.3385628e-09 1.0144249e-05)	(3.8404668e-06 7.3385628e-09 1.0144249e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.26298        	(3.8128243e-06 2.0790399e-09 9.9670211e-06)	(3.8128243e-06 2.0790399e-09 9.9670211e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.26399        	(3.8413081e-06 6.2239580e-09 1.0126893e-05)	(3.8413081e-06 6.2239580e-09 1.0126893e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.265          	(3.8004202e-06 1.2384016e-09 9.9207677e-06)	(3.8004202e-06 1.2384016e-09 9.9207677e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.266          	(3.8280024e-06 4.4393646e-09 1.0059088e-05)	(3.8280024e-06 4.4393646e-09 1.0059088e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.267          	(3.7892621e-06 1.6810431e-09 9.9037300e-06)	(3.7892621e-06 1.6810431e-09 9.9037300e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.268          	(3.8316790e-06 3.0637437e-09 1.0043764e-05)	(3.8316790e-06 3.0637437e-09 1.0043764e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.269          	(3.7815957e-06 -6.9384547e-10 9.8385631e-06)	(3.7815957e-06 -6.9384547e-10 9.8385631e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.26999        	(3.8299784e-06 1.7930668e-09 1.0016522e-05)	(3.8299784e-06 1.7930668e-09 1.0016522e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.27098        	(3.7835787e-06 -2.8842874e-10 9.8548751e-06)	(3.7835787e-06 -2.8842874e-10 9.8548751e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.27197        	(3.8068605e-06 8.7377080e-10 9.9405473e-06)	(3.8068605e-06 8.7377080e-10 9.9405473e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.27295        	(3.7894530e-06 -6.2092302e-10 9.8663204e-06)	(3.7894530e-06 -6.2092302e-10 9.8663204e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
