#j        y/delta             y+            -uv   d(u_mean)/dy
175   0.853270E+00   0.548260E+03   0.144027E+00   0.372330E-02
176   0.861367E+00   0.553463E+03   0.136050E+00   0.353263E-02
177   0.869474E+00   0.558672E+03   0.128067E+00   0.333950E-02
178   0.877589E+00   0.563886E+03   0.120080E+00   0.314346E-02
179   0.885713E+00   0.569106E+03   0.112090E+00   0.294470E-02
180   0.893844E+00   0.574331E+03   0.104096E+00   0.274455E-02
181   0.901983E+00   0.579560E+03   0.960979E-01   0.254383E-02
182   0.910128E+00   0.584794E+03   0.880975E-01   0.234192E-02
183   0.918279E+00   0.590031E+03   0.800954E-01   0.213782E-02
184   0.926435E+00   0.595272E+03   0.720932E-01   0.193085E-02
185   0.934597E+00   0.600516E+03   0.640903E-01   0.172108E-02
186   0.942763E+00   0.605763E+03   0.560862E-01   0.150898E-02
187   0.950932E+00   0.611012E+03   0.480814E-01   0.129465E-02
188   0.959105E+00   0.616263E+03   0.400752E-01   0.107832E-02
189   0.967281E+00   0.621517E+03   0.320661E-01   0.861304E-03
190   0.975459E+00   0.626771E+03   0.240538E-01   0.644745E-03
191   0.983638E+00   0.632027E+03   0.160384E-01   0.428757E-03
192   0.991819E+00   0.637283E+03   0.802008E-02   0.213744E-03
193   0.100000E+01   0.642540E+03   0.000000E+00   0.000000E+00
