# z phi vxP vxF T
1.421553610503282182e-02 6.150674472651539437e-01 1.037193321815045568e-05 1.676135981036643713e-02 7.380163782983840620e-07
1.441575492341356721e-02 6.158976674208646029e-01 1.055298131972982149e-05 9.607589985481763614e-03 7.495207010727811001e-07
1.461597374179431086e-02 6.171342581195158328e-01 1.072752155948074473e-05 4.047329004268479351e-03 7.610295462423684460e-07
1.481619256017505451e-02 6.185745383153251620e-01 1.092482396841393792e-05 1.263166511683370833e-03 7.724092860634419439e-07
1.501641137855579816e-02 6.202846937330600552e-01 1.113829459815469261e-05 3.752449464354014590e-04 7.836546227540720776e-07
1.521663019693654181e-02 6.222445254706401307e-01 1.135899242569948823e-05 1.906834955158873048e-04 7.949187468443614361e-07
1.541684901531728547e-02 6.241224745516249506e-01 1.157474454241844223e-05 1.433970234933901720e-04 8.061543691329494133e-07
1.561706783369803085e-02 6.256774066499559694e-01 1.178991208112831752e-05 1.422797160143250987e-04 8.175385084739629382e-07
1.581728665207877277e-02 6.268481036024557973e-01 1.201508060582447584e-05 4.389329086411598770e-04 8.291050683378783658e-07
1.601750547045951989e-02 6.274488271273517270e-01 1.224340226824063923e-05 1.734786707059644438e-03 8.409654790165309106e-07
1.621772428884026354e-02 6.274792711916314936e-01 1.250167983772424843e-05 5.358478313160477437e-03 8.531196207179831930e-07
1.641794310722100719e-02 6.271551751705030098e-01 1.278195708008756619e-05 1.127663999467426979e-02 8.655099431622509387e-07
1.661816192560175084e-02 6.265559431719703865e-01 1.307357227320732590e-05 1.777070233899234741e-02 8.780117044690471407e-07
1.681838074398249450e-02 6.259657350875690307e-01 1.336019005931883934e-05 2.247787812714959615e-02 8.906565933883630035e-07
1.701859956236323815e-02 6.254874261193931195e-01 1.365932442029987327e-05 2.377225107430500431e-02 9.035778898194054463e-07
1.721881838074398180e-02 6.248634107929805781e-01 1.396494497536552955e-05 2.134965605017768650e-02 9.167439356277628739e-07
1.741903719912472545e-02 6.240285783802426156e-01 1.428070287968681696e-05 1.622327804584102612e-02 9.302834823362133380e-07
1.761925601750546910e-02 6.232061788755534071e-01 1.461356157740619550e-05 1.027140425873035619e-02 9.441055412877622645e-07
1.781947483588621275e-02 6.222660989894608363e-01 1.495482476745795779e-05 5.203283169775235056e-03 9.583594517569664323e-07
1.801969365426695641e-02 6.214536619298124398e-01 1.527484785964694505e-05 2.262530991718532392e-03 9.729578956658905964e-07
1.821991247264770353e-02 6.208767489030774245e-01 1.558769598772750115e-05 8.538252092914085361e-04 9.879855652489014261e-07
1.842013129102844718e-02 6.205171229566909252e-01 1.591184099041336022e-05 3.236277413928173607e-04 1.003515017761374787e-06
1.862035010940919083e-02 6.204194273168982532e-01 1.625167956790911778e-05 1.951977185751831970e-04 1.019486055107395376e-06
1.882056892778993448e-02 6.204661509907879458e-01 1.659220478893817045e-05 2.528428500482646094e-04 1.035789496770589187e-06
1.902078774617067813e-02 6.203294686233338240e-01 1.694699904033956071e-05 9.667962454080244322e-04 1.052504163940482540e-06
1.922100656455142179e-02 6.201889556370053791e-01 1.731238950879003535e-05 2.988056800134679218e-03 1.069653704660142422e-06
1.942122538293216544e-02 6.203021299139450662e-01 1.768478637672141562e-05 7.279032802034563279e-03 1.087025064524259609e-06
1.962144420131290909e-02 6.208300861274359539e-01 1.803903330570958788e-05 1.310532485289863519e-02 1.104598357697860758e-06
1.982166301969365274e-02 6.218389488590331249e-01 1.839219334744429289e-05 1.889210487484559164e-02 1.122347968439179994e-06
2.002188183807439639e-02 6.232780769601812265e-01 1.877842909421843830e-05 2.291586085848307253e-02 1.140267835971290365e-06
2.022210065645514004e-02 6.249008612875037727e-01 1.916965367886619911e-05 2.381026742745579253e-02 1.158364994187411401e-06
2.042231947483588717e-02 6.265636463397404876e-01 1.955561856664567397e-05 2.124217468292917757e-02 1.176665383463415955e-06
2.062253829321663082e-02 6.281847891063279121e-01 1.996255531863224065e-05 1.609650558324253466e-02 1.195203745704648762e-06
2.082275711159737447e-02 6.295459048041095462e-01 2.041029262681876174e-05 1.020828862248465176e-02 1.214113656714155644e-06
2.102297592997811812e-02 6.306167279589153241e-01 2.086726291788005213e-05 5.471101525686055365e-03 1.233435922308582562e-06
2.122319474835886177e-02 6.315154212389219035e-01 2.134402802068207890e-05 2.804288237283554617e-03 1.253149521799810097e-06
2.142341356673960542e-02 6.320459246548115750e-01 2.184481474862706122e-05 1.285497484557792140e-03 1.273286619917431979e-06
2.162363238512034908e-02 6.322821758176406792e-01 2.236216998939307606e-05 4.955043836660679010e-04 1.293780667510543040e-06
2.182385120350109273e-02 6.320820647395880565e-01 2.289327829609662940e-05 2.759558548523649308e-04 1.314712352744886074e-06
2.202407002188183638e-02 6.314383228336599707e-01 2.345360456515814925e-05 2.082373180963540858e-04 1.336263595434077698e-06
2.222428884026258003e-02 6.303453073597170553e-01 2.407570215633694159e-05 5.232244059406386105e-04 1.358551309173727605e-06
2.242450765864332368e-02 6.291374346211083823e-01 2.474846027351338887e-05 1.789630079158944977e-03 1.381633955617144888e-06
2.262472647702407080e-02 6.278853043557640623e-01 2.546112695740089678e-05 5.278680179110178949e-03 1.405444157924604763e-06
2.282494529540481445e-02 6.266179617288016868e-01 2.622727959139953675e-05 1.059914407190502839e-02 1.429945165827076957e-06
