#j        y/delta             y+         u_mean         v_mean         w_mean   omega_x_mean   omega_y_mean   omega_z_mean         p_mean
 60   0.114252E+00   0.734113E+02   0.157615E+02  -0.105015E-18  -0.104188E-01  -0.201582E-03  -0.948412E-20  -0.317799E-01  -0.109494E+01
 61   0.118079E+00   0.758703E+02   0.158384E+02   0.147869E-18  -0.108851E-01  -0.176774E-03  -0.297269E-20  -0.308069E-01  -0.109690E+01
 62   0.121965E+00   0.783673E+02   0.159142E+02   0.710207E-19  -0.112905E-01  -0.147496E-03   0.423726E-20  -0.298945E-01  -0.109821E+01
 63   0.125910E+00   0.809020E+02   0.159889E+02  -0.397511E-18  -0.116250E-01  -0.116446E-03  -0.540324E-21  -0.290394E-01  -0.109892E+01
 64   0.129913E+00   0.834743E+02   0.160625E+02   0.929613E-19  -0.118846E-01  -0.856528E-04  -0.464470E-20  -0.282386E-01  -0.109908E+01
 65   0.133975E+00   0.860840E+02   0.161352E+02   0.301199E-18  -0.120702E-01  -0.572124E-04   0.237018E-20  -0.274877E-01  -0.109876E+01
 66   0.138094E+00   0.887310E+02   0.162070E+02  -0.262661E-18  -0.121886E-01  -0.331319E-04   0.439337E-21  -0.267818E-01  -0.109797E+01
 67   0.142271E+00   0.914151E+02   0.162780E+02   0.135696E-18  -0.122507E-01  -0.139183E-04  -0.114377E-19  -0.261162E-01  -0.109676E+01
 68   0.146506E+00   0.941360E+02   0.163482E+02   0.662141E-18  -0.122660E-01   0.235059E-05  -0.273445E-20  -0.254863E-01  -0.109517E+01
 69   0.150798E+00   0.968936E+02   0.164176E+02   0.661116E-18  -0.122373E-01   0.186271E-04   0.534131E-20  -0.248886E-01  -0.109322E+01
 70   0.155146E+00   0.996878E+02   0.164864E+02   0.160321E-18  -0.121615E-01   0.356338E-04  -0.415473E-20  -0.243212E-01  -0.109094E+01
 71   0.159552E+00   0.102518E+03   0.165545E+02  -0.965870E-19  -0.120376E-01   0.515053E-04   0.231978E-20  -0.237826E-01  -0.108838E+01
 72   0.164013E+00   0.105385E+03   0.166219E+02   0.222744E-18  -0.118705E-01   0.644705E-04   0.851643E-20  -0.232705E-01  -0.108556E+01
 73   0.168530E+00   0.108288E+03   0.166887E+02  -0.272665E-18  -0.116690E-01   0.736760E-04  -0.550142E-21  -0.227817E-01  -0.108250E+01
 74   0.173103E+00   0.111226E+03   0.167550E+02  -0.196582E-18  -0.114435E-01   0.793590E-04  -0.494441E-20  -0.223136E-01  -0.107923E+01
 75   0.177732E+00   0.114200E+03   0.168207E+02  -0.572688E-19  -0.112006E-01   0.841181E-04   0.166365E-20  -0.218642E-01  -0.107577E+01
 76   0.182415E+00   0.117209E+03   0.168858E+02   0.246652E-18  -0.109377E-01   0.911191E-04  -0.455822E-20  -0.214318E-01  -0.107214E+01
 77   0.187153E+00   0.120253E+03   0.169504E+02  -0.117510E-18  -0.106463E-01   0.100554E-03  -0.168132E-21  -0.210139E-01  -0.106835E+01
 78   0.191946E+00   0.123333E+03   0.170145E+02   0.550394E-18  -0.103217E-01   0.110020E-03   0.548063E-20  -0.206080E-01  -0.106440E+01
 79   0.196792E+00   0.126447E+03   0.170780E+02   0.271248E-18  -0.996722E-02   0.117036E-03  -0.219523E-20  -0.202127E-01  -0.106029E+01
 80   0.201693E+00   0.129596E+03   0.171411E+02   0.114965E-18  -0.959265E-02   0.120209E-03   0.422490E-20  -0.198287E-01  -0.105603E+01
 81   0.206647E+00   0.132779E+03   0.172036E+02  -0.740659E-19  -0.920977E-02   0.119921E-03   0.239036E-21  -0.194578E-01  -0.105162E+01
 82   0.211654E+00   0.135996E+03   0.172656E+02   0.406924E-18  -0.882692E-02   0.117962E-03   0.558734E-21  -0.190997E-01  -0.104707E+01
 83   0.216713E+00   0.139247E+03   0.173271E+02   0.450441E-19  -0.844731E-02   0.115483E-03  -0.485880E-20  -0.187548E-01  -0.104239E+01
 84   0.221825E+00   0.142532E+03   0.173882E+02  -0.226435E-19  -0.807336E-02   0.111943E-03  -0.216695E-20  -0.184250E-01  -0.103761E+01
 85   0.226990E+00   0.145850E+03   0.174488E+02   0.763687E-18  -0.771027E-02   0.106642E-03  -0.488276E-20  -0.181111E-01  -0.103273E+01
 86   0.232205E+00   0.149201E+03   0.175090E+02   0.523473E-18  -0.736312E-02   0.100572E-03   0.892424E-21  -0.178104E-01  -0.102777E+01
 87   0.237473E+00   0.152586E+03   0.175688E+02   0.239268E-18  -0.703170E-02   0.955567E-04   0.567270E-20  -0.175191E-01  -0.102275E+01
 88   0.242791E+00   0.156003E+03   0.176282E+02  -0.527542E-18  -0.671150E-02   0.920694E-04  -0.704845E-20  -0.172358E-01  -0.101767E+01
 89   0.248160E+00   0.159453E+03   0.176871E+02   0.524787E-18  -0.639802E-02   0.899327E-04  -0.467622E-20  -0.169596E-01  -0.101254E+01
 90   0.253580E+00   0.162935E+03   0.177457E+02  -0.225403E-18  -0.608585E-02   0.897058E-04   0.197620E-20  -0.166895E-01  -0.100735E+01
 91   0.259049E+00   0.166449E+03   0.178039E+02   0.252854E-18  -0.576874E-02   0.908246E-04   0.321262E-20  -0.164251E-01  -0.100211E+01
 92   0.264568E+00   0.169995E+03   0.178617E+02  -0.352617E-19  -0.544530E-02   0.914243E-04   0.948269E-21  -0.161674E-01  -0.996787E+00
 93   0.270136E+00   0.173573E+03   0.179191E+02  -0.886521E-18  -0.511790E-02   0.916931E-04   0.198787E-20  -0.159173E-01  -0.991384E+00
 94   0.275753E+00   0.177182E+03   0.179761E+02  -0.588047E-18  -0.478489E-02   0.930119E-04  -0.813423E-20  -0.156750E-01  -0.985886E+00
